Ticker,Timestamp,StockPrice,Mean,Difference,PercentageDeviation
ASH,11-11-2023,110.65,115.53933333333335,-4.88933333333334,-9.665356190445744
ASH,12-11-2023,112.20,115.53933333333335,-3.339333333333343,-8.399936417243676
ASH,13-11-2023,112.53,115.53933333333335,-3.0093333333333447,-8.130524465529689
ASH,14-11-2023,111.52,115.53933333333335,-4.01933333333335,-8.955088317745236
ASH,15-11-2023,110.96,115.53933333333335,-4.579333333333352,-9.41227223580534
ASH,16-11-2023,110.85,115.53933333333335,-4.689333333333352,-9.502076219710002
ASH,17-11-2023,112.40,115.53933333333335,-3.13933333333334,-8.236656446507922
ASH,18-11-2023,112.40,115.53933333333335,-3.13933333333334,-8.236656446507922
ASH,19-11-2023,113.08,115.53933333333335,-2.4593333333333476,-7.681504546006375
ASH,20-11-2023,114.77,115.53933333333335,-0.7693333333333499,-6.3017887932892815
ASH,21-11-2023,113.86,115.53933333333335,-1.6793333333333464,-7.044712660136946
ASH,22-11-2023,114.20,115.53933333333335,-1.339333333333343,-6.767136709886167
ASH,23-11-2023,113.63,115.53933333333335,-1.9093333333333504,-7.232484626483063
ASH,24-11-2023,113.63,115.53933333333335,-1.9093333333333504,-7.232484626483063
ASH,25-11-2023,113.63,115.53933333333335,-1.9093333333333504,-7.232484626483063
ASH,26-11-2023,115.10,115.53933333333335,-0.43933333333335156,-6.032376841575293
ASH,27-11-2023,116.71,115.53933333333335,1.1706666666666479,-4.7179730771524975
ASH,28-11-2023,115.90,115.53933333333335,0.3606666666666598,-5.37925695863228
ASH,29-11-2023,114.74,115.53933333333335,-0.799333333333351,-6.326280788899645
ASH,30-11-2023,115.66,115.53933333333335,0.12066666666665071,-5.575192923515189
ASH,01-12-2023,117.39,115.53933333333335,1.8506666666666547,-4.162821176650939
ASH,02-12-2023,117.39,115.53933333333335,1.8506666666666547,-4.162821176650939
ASH,03-12-2023,117.86,115.53933333333335,2.3206666666666536,-3.779113245421925
ASH,04-12-2023,118.92,115.53933333333335,3.380666666666656,-2.913729400522443
ASH,05-12-2023,118.57,115.53933333333335,3.0306666666666473,-3.1994693493100144
ASH,06-12-2023,120.23,115.53933333333335,4.690666666666658,-1.8442455922032717
ASH,07-12-2023,121.43,115.53933333333335,5.890666666666661,-0.8645657677887634
ASH,08-12-2023,122.03,115.53933333333335,6.490666666666655,-0.37472585558151505
ASH,09-12-2023,122.40,115.53933333333335,6.86066666666666,-0.07265790972037196
ASH,10-12-2023,121.54,115.53933333333335,6.00066666666666,-0.7747617838841009
